Symbol name,Gene,Le1-1,Le1-2,Le1-3,So1-1,So1-2,So1-3,Pi-1,Pi-2,Pi-3,Sb-1,Sb-2,Sb-3,Xy-1,Xy-2,Xy-3,Ph-1,Ph-2,Ph-3
AspiHCT11,Aspi01Gene27780,0.359044741,0.384851024,0.238814736,60.76658909,62.2311324,54.8954456,4.959712985,4.133999104,4.75758992,3.389133667,4.633216983,2.919598845,10.3831242,9.923267222,10.60757116,9.438195937,7.426364309,8.589912951
AspiCSE15,Aspi01Gene25812,0.615610846,0.871012264,1.243999477,72.53973804,66.53505722,77.20552019,0,0,0,0,0,0,0,0.149725252,0,0,0,0
Aspi4CL48,Aspi01Gene67902,1.016781071,1.06564289,0.787228631,76.09259183,74.67046347,74.67744054,0.086700263,0,0,0,0,0,0,0.183181864,0.085583042,0,0,0
AspiHCT1a,Aspi01Gene50432,1.927420535,1.302928055,1.42363378,76.84871153,73.75850825,77.64058283,0.029582982,0.029860922,0.088483822,0.059963644,0,0.090738204,0.180996152,0.218762084,0.204412427,0.030454992,0,0.180350283
AspiCCR30,Aspi01Gene48422,23.06330891,25.06861931,22.67489735,74.02505065,73.64080746,88.13916261,9.914396239,13.18986017,12.49038959,11.77178929,11.61417419,12.17242886,12.85932282,12.13892433,11.91594986,13.83661733,12.67121453,13.15063112
AspiHCT57,Aspi01Gene44137,0.032081981,0.189133276,0.067065377,87.6853268,82.29184236,76.04584869,0,0,0,0.074857269,0.149309725,0.075517026,0,0,0.182274208,0,0,0
AspiCAD30,Aspi01Gene35797,18.07589843,19.03867114,19.92093547,77.98970194,83.47874534,88.12893821,15.84528695,18.80631735,19.05302405,17.07362612,15.75150105,19.40493495,23.88125494,18.9004703,20.28187167,17.47752294,17.72912631,16.01145969
AspiHCT39,Aspi01Gene26406,6.529620756,5.173287759,6.64432968,87.09722301,89.38288726,88.04169373,0,0,0,0,0,0,0,0,0,0,0,0
AspiCAD16,Aspi01Gene09592,26.37262772,26.73800663,27.199256,99.87822016,102.7408837,110.7304429,30.5375938,33.44594149,34.50885931,19.33197015,18.0577456,19.3650126,6.255285712,6.007395494,6.187935558,30.19314053,31.51142206,30.20940348
AspiCAD43,Aspi01Gene53573,3.347653573,3.947092197,3.029648204,101.2827464,106.4255852,116.5368433,15.22644072,20.87215681,16.53974319,28.72015474,26.50499826,31.0393688,11.88450811,13.05693369,15.2621807,11.07912385,12.6192665,11.65109768
AspiHCT6,Aspi01Gene35222,0.48860586,0.881089162,0.720988251,114.5725647,112.3763335,114.8082634,0.165427034,0.333962532,0.263892554,0.100594401,0.167204006,0.236788985,1.990511243,1.922344557,1.632953396,0.544970521,0.495400207,0.268936716
AspiC4H1,Aspi01Gene47385,20.05327802,16.95850147,20.64204766,160.3721013,158.6814027,144.4404426,13.08627128,14.1091186,13.55509741,27.49348348,26.87204808,19.46714476,27.75980151,27.34618245,27.24962324,26.6817955,26.85710843,27.66074309
AspiHCT63,Aspi01Gene44120,1.470547197,1.696976011,1.602449626,184.9470268,179.9598958,166.3741906,9.72459678,10.47035949,9.767364911,3.68676359,2.220638519,2.430405567,0.624356884,1.103412503,0.213317456,2.113485358,3.056013093,1.573620212
Aspi4CL17,Aspi01Gene16478,0.097569901,0.153387992,0.169969818,184.5757786,184.7432835,199.6424038,0,0,0,0,0,0,0,0,0.036956314,0,0,0
AspiCAD35,Aspi01Gene46219,48.04716156,49.00935446,52.71131938,206.7097503,203.0170751,214.9205756,3.773005403,4.717289389,4.146456942,9.472777268,10.48721849,7.452133966,15.38946644,15.62629124,14.3896748,9.357442453,11.42732193,10.01973469
AspiCCR23,Aspi01Gene30430,0.027929614,0.032930755,0.029192556,197.4173259,202.921243,253.3979328,0,0,0,0,0,0,0,0,0,0,0,0
AspiHCT47,Aspi01Gene33251,0,0,0,243.6867187,230.9417471,235.2536088,0,0,0,0,0,0,0,0,0,0,0,0
AspiCCR2b,Aspi01Gene71938,36.51103241,36.37667836,36.58205999,305.0429155,305.8528688,325.5431124,1.963146076,1.396120487,2.446601851,1.040025178,2.029329874,1.733446784,30.39152877,32.00381698,32.0185498,33.39265109,33.58147223,33.18445212
AspiPAL1,Aspi01Gene05640,61.11199938,62.57395383,63.67369646,342.2266845,330.1868926,323.5900054,106.9293211,109.9770224,104.9364163,173.2634374,161.7426589,136.7333139,152.9082044,149.5195958,148.0205287,139.4311697,137.2928485,136.1607184
AspiCCR17,Aspi01Gene17918,1.902762804,2.125398251,1.831792588,328.2597811,328.7346661,376.8926482,0.057640506,0.465456435,0.344809884,0.467340964,0.466077317,0.412527403,0.764094867,0.304459727,0.3413865,0.771414303,0.575381947,0.761368261
AspiHCT49,Aspi01Gene33582,0,0,0,1017.883935,975.927103,1109.470941,0,0,0,0,0,0,0,0,0,0,0,0
