MRCA,Non-duplication Per,Duplication Per,Non-duplication,Duplication,Total,group
N3,99.3006993,0.699300699,284,2,286,Null_summary
N4,93.6329588,6.367041199,250,17,267,Null_summary
N5,92.64069264,7.359307359,214,17,231,Null_summary
N6,85.5,14.5,171,29,200,Null_summary
N7,84.57446809,15.42553191,159,29,188,Null_summary
N8,81.57894737,18.42105263,155,35,190,Null_summary
N2,91.58878505,8.411214953,294,27,321,Null_summary
N3,98.57651246,1.423487544,277,4,281,Null_summary
N4,94.11764706,5.882352941,240,15,255,Null_summary
N5,92.24137931,7.75862069,214,18,232,Null_summary
N6,77.04918033,22.95081967,141,42,183,Null_summary
N7,86.22754491,13.77245509,144,23,167,Null_summary
N8,83.60655738,16.39344262,153,30,183,Null_summary
N2,90.90909091,9.090909091,280,28,308,Null_summary
N3,98.17518248,1.824817518,269,5,274,Null_summary
N4,93.28358209,6.71641791,250,18,268,Null_summary
N5,93.77777778,6.222222222,211,14,225,Null_summary
N6,82.41758242,17.58241758,150,32,182,Null_summary
N7,86.59217877,13.40782123,155,24,179,Null_summary
N8,79.00552486,20.99447514,143,38,181,Null_summary
N2,91.20521173,8.794788274,280,27,307,Null_summary
N3,99.3006993,0.699300699,284,2,286,Null_summary
N4,92.48120301,7.518796992,246,20,266,Null_summary
N5,91.89189189,8.108108108,204,18,222,Null_summary
N6,87.09677419,12.90322581,162,24,186,Null_summary
N7,88.26815642,11.73184358,158,21,179,Null_summary
N8,76.59574468,23.40425532,144,44,188,Null_summary
N2,90.90909091,9.090909091,290,29,319,Null_summary
N3,98.24561404,1.754385965,280,5,285,Null_summary
N4,93.8697318,6.130268199,245,16,261,Null_summary
N5,91.96428571,8.035714286,206,18,224,Null_summary
N6,85.64356436,14.35643564,173,29,202,Null_summary
N7,90.16393443,9.836065574,165,18,183,Null_summary
N8,82.10526316,17.89473684,156,34,190,Null_summary
N2,90.59561129,9.404388715,289,30,319,Null_summary
N3,99.64912281,0.350877193,284,1,285,Null_summary
N4,92.0754717,7.924528302,244,21,265,Null_summary
N5,90.22222222,9.777777778,203,22,225,Null_summary
N6,80.10471204,19.89528796,153,38,191,Null_summary
N7,85.16483516,14.83516484,155,27,182,Null_summary
N8,85.71428571,14.28571429,156,26,182,Null_summary
N2,90.46153846,9.538461538,294,31,325,Null_summary
N3,100,0,287,0,287,Null_summary
N4,94.921875,5.078125,243,13,256,Null_summary
N5,90.5982906,9.401709402,212,22,234,Null_summary
N6,82.9015544,17.0984456,160,33,193,Null_summary
N7,86.28571429,13.71428571,151,24,175,Null_summary
N8,78.83597884,21.16402116,149,40,189,Null_summary
N2,92.25589226,7.744107744,274,23,297,Null_summary
N3,99.64028777,0.35971223,277,1,278,Null_summary
N4,94.56521739,5.434782609,261,15,276,Null_summary
N5,93.75,6.25,210,14,224,Null_summary
N6,83.87096774,16.12903226,156,30,186,Null_summary
N7,87.70949721,12.29050279,157,22,179,Null_summary
N8,76.59574468,23.40425532,144,44,188,Null_summary
N2,88.62275449,11.37724551,296,38,334,Null_summary
N3,99.66101695,0.338983051,294,1,295,Null_summary
N4,89.89169675,10.10830325,249,28,277,Null_summary
N5,89.43089431,10.56910569,220,26,246,Null_summary
N6,82.52427184,17.47572816,170,36,206,Null_summary
N7,87.5,12.5,161,23,184,Null_summary
N8,79.89690722,20.10309278,155,39,194,Null_summary
N2,89.45686901,10.54313099,280,33,313,Null_summary
N3,99.65156794,0.348432056,286,1,287,Null_summary
N4,92.7756654,7.224334601,244,19,263,Null_summary
N5,93.50649351,6.493506494,216,15,231,Null_summary
N6,85.02673797,14.97326203,159,28,187,Null_summary
N7,85.95505618,14.04494382,153,25,178,Null_summary
N8,74.7311828,25.2688172,139,47,186,Null_summary
N2,91.11111111,8.888888889,287,28,315,Null_summary
N3,100,0,279,0,279,Null_summary
N4,93.15589354,6.844106464,245,18,263,Null_summary
N5,92.88702929,7.112970711,222,17,239,Null_summary
N6,82.79569892,17.20430108,154,32,186,Null_summary
N7,83.87096774,16.12903226,156,30,186,Null_summary
N8,79.67914439,20.32085561,149,38,187,Null_summary
N2,89.53846154,10.46153846,291,34,325,Null_summary
N3,98.99328859,1.006711409,295,3,298,Null_summary
N4,91.45907473,8.540925267,257,24,281,Null_summary
N5,90.36144578,9.638554217,225,24,249,Null_summary
N6,84.46601942,15.53398058,174,32,206,Null_summary
N7,86.1878453,13.8121547,156,25,181,Null_summary
N8,80.43478261,19.56521739,148,36,184,Null_summary
N2,91.27516779,8.724832215,272,26,298,Null_summary
N3,99.25373134,0.746268657,266,2,268,Null_summary
N4,94.11764706,5.882352941,240,15,255,Null_summary
N5,94.97716895,5.02283105,208,11,219,Null_summary
N6,84.73684211,15.26315789,161,29,190,Null_summary
N7,86.03351955,13.96648045,154,25,179,Null_summary
N8,84.49197861,15.50802139,158,29,187,Null_summary
N2,91.88311688,8.116883117,283,25,308,Null_summary
N3,97.5177305,2.482269504,275,7,282,Null_summary
N4,96.26865672,3.731343284,258,10,268,Null_summary
N5,91.18942731,8.810572687,207,20,227,Null_summary
N6,82.88770053,17.11229947,155,32,187,Null_summary
N7,86.22754491,13.77245509,144,23,167,Null_summary
N8,78.88888889,21.11111111,142,38,180,Null_summary
N2,91.69329073,8.306709265,287,26,313,Null_summary
N3,99.65277778,0.347222222,287,1,288,Null_summary
N4,89.85507246,10.14492754,248,28,276,Null_summary
N5,93.96551724,6.034482759,218,14,232,Null_summary
N6,88.02083333,11.97916667,169,23,192,Null_summary
N7,81.97674419,18.02325581,141,31,172,Null_summary
N8,74.15730337,25.84269663,132,46,178,Null_summary
N2,90.56603774,9.433962264,288,30,318,Null_summary
N3,99.31506849,0.684931507,290,2,292,Null_summary
N4,95.90443686,4.09556314,281,12,293,Null_summary
N5,91.21338912,8.786610879,218,21,239,Null_summary
N6,80.54054054,19.45945946,149,36,185,Null_summary
N7,83.51648352,16.48351648,152,30,182,Null_summary
N8,83.15217391,16.84782609,153,31,184,Null_summary
N2,88.78504673,11.21495327,285,36,321,Null_summary
N3,98.92857143,1.071428571,277,3,280,Null_summary
N4,92.72727273,7.272727273,255,20,275,Null_summary
N5,92.27467811,7.725321888,215,18,233,Null_summary
N6,85.64102564,14.35897436,167,28,195,Null_summary
N7,82.32323232,17.67676768,163,35,198,Null_summary
N8,80.10752688,19.89247312,149,37,186,Null_summary
N2,89.65517241,10.34482759,286,33,319,Null_summary
N3,99.30313589,0.696864111,285,2,287,Null_summary
N4,94.00749064,5.992509363,251,16,267,Null_summary
N5,88.60759494,11.39240506,210,27,237,Null_summary
N6,80.20833333,19.79166667,154,38,192,Null_summary
N7,83.5978836,16.4021164,158,31,189,Null_summary
N8,85.18518519,14.81481481,161,28,189,Null_summary
N2,91.34615385,8.653846154,285,27,312,Null_summary
N3,99.32659933,0.673400673,295,2,297,Null_summary
N4,94.01408451,5.985915493,267,17,284,Null_summary
N5,91.63179916,8.368200837,219,20,239,Null_summary
N6,83.70786517,16.29213483,149,29,178,Null_summary
N7,87.42857143,12.57142857,153,22,175,Null_summary
N8,80.31914894,19.68085106,151,37,188,Null_summary
N2,94.64285714,5.357142857,318,18,336,Null_summary
N3,99.33333333,0.666666667,298,2,300,Null_summary
N4,92.70072993,7.299270073,254,20,274,Null_summary
N5,92.20779221,7.792207792,213,18,231,Null_summary
N6,86.66666667,13.33333333,169,26,195,Null_summary
N7,85.56149733,14.43850267,160,27,187,Null_summary
N8,79.78142077,20.21857923,146,37,183,Null_summary
N2,92.43986254,7.560137457,269,22,291,Null_summary
N3,98.93617021,1.063829787,279,3,282,Null_summary
N4,93.53612167,6.463878327,246,17,263,Null_summary
N5,92.98245614,7.01754386,212,16,228,Null_summary
N6,81.05263158,18.94736842,154,36,190,Null_summary
N7,86.44067797,13.55932203,153,24,177,Null_summary
N8,83.88888889,16.11111111,151,29,180,Null_summary
N2,89.58990536,10.41009464,284,33,317,Null_summary
N3,98.61591696,1.384083045,285,4,289,Null_summary
N4,91.015625,8.984375,233,23,256,Null_summary
N5,92.44444444,7.555555556,208,17,225,Null_summary
N6,84.45595855,15.54404145,163,30,193,Null_summary
N7,85.63829787,14.36170213,161,27,188,Null_summary
N8,78.80434783,21.19565217,145,39,184,Null_summary
N2,91.42857143,8.571428571,288,27,315,Null_summary
N3,99.65986395,0.340136054,293,1,294,Null_summary
N4,95.28985507,4.710144928,263,13,276,Null_summary
N5,91.06382979,8.936170213,214,21,235,Null_summary
N6,89.67391304,10.32608696,165,19,184,Null_summary
N7,80.66298343,19.33701657,146,35,181,Null_summary
N8,80.51282051,19.48717949,157,38,195,Null_summary
N2,88.77887789,11.22112211,269,34,303,Null_summary
N3,98.16849817,1.831501832,268,5,273,Null_summary
N4,95.16728625,4.832713755,256,13,269,Null_summary
N5,93.01310044,6.986899563,213,16,229,Null_summary
N6,82.74111675,17.25888325,163,34,197,Null_summary
N7,83.52272727,16.47727273,147,29,176,Null_summary
N8,81.86813187,18.13186813,149,33,182,Null_summary
N2,92.5170068,7.482993197,272,22,294,Null_summary
N3,98.93992933,1.060070671,280,3,283,Null_summary
N4,94.07407407,5.925925926,254,16,270,Null_summary
N5,92.09302326,7.906976744,198,17,215,Null_summary
N6,84.32432432,15.67567568,156,29,185,Null_summary
N7,86.44067797,13.55932203,153,24,177,Null_summary
N8,79.56989247,20.43010753,148,38,186,Null_summary
N2,89.49152542,10.50847458,264,31,295,Null_summary
N3,99.63099631,0.36900369,270,1,271,Null_summary
N4,94.63601533,5.363984674,247,14,261,Null_summary
N5,93.36283186,6.637168142,211,15,226,Null_summary
N6,85.63535912,14.36464088,155,26,181,Null_summary
N7,85.55555556,14.44444444,154,26,180,Null_summary
N8,82.10526316,17.89473684,156,34,190,Null_summary
N2,88.43537415,11.56462585,260,34,294,Null_summary
N3,100,0,260,0,260,Null_summary
N4,92.99610895,7.003891051,239,18,257,Null_summary
N5,90.74889868,9.251101322,206,21,227,Null_summary
N6,85.63829787,14.36170213,161,27,188,Null_summary
N7,87.93103448,12.06896552,153,21,174,Null_summary
N8,81.52173913,18.47826087,150,34,184,Null_summary
N2,90.85173502,9.148264984,288,29,317,Null_summary
N3,98.93617021,1.063829787,279,3,282,Null_summary
N4,94.28571429,5.714285714,264,16,280,Null_summary
N5,94.58333333,5.416666667,227,13,240,Null_summary
N6,83.85416667,16.14583333,161,31,192,Null_summary
N7,83.06010929,16.93989071,152,31,183,Null_summary
N8,78.60962567,21.39037433,147,40,187,Null_summary
N2,90.59633028,9.403669725,395,41,436,Positive_summary
N3,98.95561358,1.044386423,379,4,383,Positive_summary
N4,77.593361,22.406639,187,54,241,Positive_summary
N5,93.87755102,6.12244898,230,15,245,Positive_summary
N6,69.53642384,30.46357616,105,46,151,Positive_summary
N7,82.80254777,17.19745223,130,27,157,Positive_summary
N8,73.41040462,26.58959538,127,46,173,Positive_summary
N2,95.18599562,4.814004376,435,22,457,Positive_summary
N3,99.22879177,0.771208226,386,3,389,Positive_summary
N4,79.91803279,20.08196721,195,49,244,Positive_summary
N5,90.4,9.6,226,24,250,Positive_summary
N6,69.375,30.625,111,49,160,Positive_summary
N7,86.92810458,13.07189542,133,20,153,Positive_summary
N8,66.48351648,33.51648352,121,61,182,Positive_summary
N2,92.78846154,7.211538462,386,30,416,Positive_summary
N3,99.17355372,0.826446281,360,3,363,Positive_summary
N4,83.65758755,16.34241245,215,42,257,Positive_summary
N5,92.96875,7.03125,238,18,256,Positive_summary
N6,69.3877551,30.6122449,102,45,147,Positive_summary
N7,81.45695364,18.54304636,123,28,151,Positive_summary
N8,71.34502924,28.65497076,122,49,171,Positive_summary
N2,92.90617849,7.09382151,406,31,437,Positive_summary
N3,99.22680412,0.773195876,385,3,388,Positive_summary
N4,80.3030303,19.6969697,212,52,264,Positive_summary
N5,92.06349206,7.936507937,232,20,252,Positive_summary
N6,74.17218543,25.82781457,112,39,151,Positive_summary
N7,86.41975309,13.58024691,140,22,162,Positive_summary
N8,69.82248521,30.17751479,118,51,169,Positive_summary
N2,95.2853598,4.714640199,384,19,403,Positive_summary
N3,98.25072886,1.749271137,337,6,343,Positive_summary
N4,80.81632653,19.18367347,198,47,245,Positive_summary
N5,90.57377049,9.426229508,221,23,244,Positive_summary
N6,82.05128205,17.94871795,128,28,156,Positive_summary
N7,83.22580645,16.77419355,129,26,155,Positive_summary
N8,71.67630058,28.32369942,124,49,173,Positive_summary
N2,94.22632794,5.773672055,408,25,433,Positive_summary
N3,99.17582418,0.824175824,361,3,364,Positive_summary
N4,76.171875,23.828125,195,61,256,Positive_summary
N5,91.28787879,8.712121212,241,23,264,Positive_summary
N6,72.25433526,27.74566474,125,48,173,Positive_summary
N7,87.41721854,12.58278146,132,19,151,Positive_summary
N8,73.17073171,26.82926829,120,44,164,Positive_summary
N2,91.30434783,8.695652174,420,40,460,Positive_summary
N3,99.48849105,0.511508951,389,2,391,Positive_summary
N4,78.18930041,21.81069959,190,53,243,Positive_summary
N5,93.38842975,6.611570248,226,16,242,Positive_summary
N6,72.18543046,27.81456954,109,42,151,Positive_summary
N7,80.39215686,19.60784314,123,30,153,Positive_summary
N8,70.78651685,29.21348315,126,52,178,Positive_summary
N2,91.56626506,8.43373494,380,35,415,Positive_summary
N3,98.9010989,1.098901099,360,4,364,Positive_summary
N4,79.11646586,20.88353414,197,52,249,Positive_summary
N5,90.98360656,9.016393443,222,22,244,Positive_summary
N6,75.75757576,24.24242424,125,40,165,Positive_summary
N7,83.03030303,16.96969697,137,28,165,Positive_summary
N8,74.11764706,25.88235294,126,44,170,Positive_summary
N2,94.07407407,5.925925926,381,24,405,Positive_summary
N3,99.43661972,0.563380282,353,2,355,Positive_summary
N4,80.70175439,19.29824561,184,44,228,Positive_summary
N5,91.40271493,8.597285068,202,19,221,Positive_summary
N6,72.60273973,27.39726027,106,40,146,Positive_summary
N7,85.43046358,14.56953642,129,22,151,Positive_summary
N8,75.29411765,24.70588235,128,42,170,Positive_summary
N2,92.99781182,7.002188184,425,32,457,Positive_summary
N3,98.46938776,1.530612245,386,6,392,Positive_summary
N4,73.94957983,26.05042017,176,62,238,Positive_summary
N5,90.49429658,9.505703422,238,25,263,Positive_summary
N6,71.33333333,28.66666667,107,43,150,Positive_summary
N7,83.44827586,16.55172414,121,24,145,Positive_summary
N8,76.74418605,23.25581395,132,40,172,Positive_summary
N2,93.50348028,6.496519722,403,28,431,Positive_summary
N3,99.19137466,0.808625337,368,3,371,Positive_summary
N4,84.10852713,15.89147287,217,41,258,Positive_summary
N5,89.25619835,10.74380165,216,26,242,Positive_summary
N6,69.59459459,30.40540541,103,45,148,Positive_summary
N7,86.53846154,13.46153846,135,21,156,Positive_summary
N8,73.86363636,26.13636364,130,46,176,Positive_summary
N2,92.65033408,7.349665924,416,33,449,Positive_summary
N3,99.24242424,0.757575758,393,3,396,Positive_summary
N4,74.48559671,25.51440329,181,62,243,Positive_summary
N5,91.17647059,8.823529412,217,21,238,Positive_summary
N6,74.4966443,25.5033557,111,38,149,Positive_summary
N7,82.60869565,17.39130435,133,28,161,Positive_summary
N8,72.78106509,27.21893491,123,46,169,Positive_summary
N2,93.48370927,6.516290727,373,26,399,Positive_summary
N3,98.56733524,1.432664756,344,5,349,Positive_summary
N4,81.27659574,18.72340426,191,44,235,Positive_summary
N5,89.09090909,10.90909091,196,24,220,Positive_summary
N6,72,28,108,42,150,Positive_summary
N7,92.99363057,7.006369427,146,11,157,Positive_summary
N8,74.72527473,25.27472527,136,46,182,Positive_summary
N2,92.84064665,7.159353349,402,31,433,Positive_summary
N3,99.45504087,0.544959128,365,2,367,Positive_summary
N4,80.23255814,19.76744186,207,51,258,Positive_summary
N5,89.88326848,10.11673152,231,26,257,Positive_summary
N6,78.125,21.875,125,35,160,Positive_summary
N7,83.66013072,16.33986928,128,25,153,Positive_summary
N8,67.05202312,32.94797688,116,57,173,Positive_summary
N2,91.78743961,8.212560386,380,34,414,Positive_summary
N3,99.17355372,0.826446281,360,3,363,Positive_summary
N4,79.25311203,20.74688797,191,50,241,Positive_summary
N5,91.02040816,8.979591837,223,22,245,Positive_summary
N6,73.15436242,26.84563758,109,40,149,Positive_summary
N7,82.99319728,17.00680272,122,25,147,Positive_summary
N8,74.54545455,25.45454545,123,42,165,Positive_summary
N2,93.80952381,6.19047619,394,26,420,Positive_summary
N3,99.45799458,0.54200542,367,2,369,Positive_summary
N4,79.28286853,20.71713147,199,52,251,Positive_summary
N5,89.64143426,10.35856574,225,26,251,Positive_summary
N6,71.42857143,28.57142857,105,42,147,Positive_summary
N7,83.33333333,16.66666667,130,26,156,Positive_summary
N8,70.34883721,29.65116279,121,51,172,Positive_summary
N2,92.59259259,7.407407407,400,32,432,Positive_summary
N3,98.1233244,1.876675603,366,7,373,Positive_summary
N4,80.69498069,19.30501931,209,50,259,Positive_summary
N5,90.19607843,9.803921569,230,25,255,Positive_summary
N6,75.48387097,24.51612903,117,38,155,Positive_summary
N7,84.66666667,15.33333333,127,23,150,Positive_summary
N8,68.60465116,31.39534884,118,54,172,Positive_summary
N2,92.15686275,7.843137255,376,32,408,Positive_summary
N3,98.9010989,1.098901099,360,4,364,Positive_summary
N4,81.48148148,18.51851852,198,45,243,Positive_summary
N5,90.98360656,9.016393443,222,22,244,Positive_summary
N6,69.3877551,30.6122449,102,45,147,Positive_summary
N7,89.51048951,10.48951049,128,15,143,Positive_summary
N8,77.5147929,22.4852071,131,38,169,Positive_summary
N2,91.17647059,8.823529412,372,36,408,Positive_summary
N3,99.43820225,0.561797753,354,2,356,Positive_summary
N4,84.38818565,15.61181435,200,37,237,Positive_summary
N5,91.63179916,8.368200837,219,20,239,Positive_summary
N6,71.33333333,28.66666667,107,43,150,Positive_summary
N7,83.63636364,16.36363636,138,27,165,Positive_summary
N8,75.28735632,24.71264368,131,43,174,Positive_summary
N2,93.04347826,6.956521739,428,32,460,Positive_summary
N3,99.74489796,0.255102041,391,1,392,Positive_summary
N4,75.09881423,24.90118577,190,63,253,Positive_summary
N5,92.7756654,7.224334601,244,19,263,Positive_summary
N6,74.84662577,25.15337423,122,41,163,Positive_summary
N7,83.66013072,16.33986928,128,25,153,Positive_summary
N8,71.18644068,28.81355932,126,51,177,Positive_summary
N2,93.46049046,6.539509537,343,24,367,Positive_summary
N3,99.07407407,0.925925926,321,3,324,Positive_summary
N4,80.34188034,19.65811966,188,46,234,Positive_summary
N5,91.47982063,8.520179372,204,19,223,Positive_summary
N6,72.22222222,27.77777778,104,40,144,Positive_summary
N7,87.91946309,12.08053691,131,18,149,Positive_summary
N8,75.625,24.375,121,39,160,Positive_summary
N2,92.90953545,7.090464548,380,29,409,Positive_summary
N3,98.64498645,1.35501355,364,5,369,Positive_summary
N4,79.23728814,20.76271186,187,49,236,Positive_summary
N5,89.17748918,10.82251082,206,25,231,Positive_summary
N6,75.92592593,24.07407407,123,39,162,Positive_summary
N7,83.11688312,16.88311688,128,26,154,Positive_summary
N8,72.94117647,27.05882353,124,46,170,Positive_summary
N2,92.95039164,7.049608355,356,27,383,Positive_summary
N3,99.70588235,0.294117647,339,1,340,Positive_summary
N4,83.81742739,16.18257261,202,39,241,Positive_summary
N5,94.37751004,5.62248996,235,14,249,Positive_summary
N6,69.59459459,30.40540541,103,45,148,Positive_summary
N7,85.43046358,14.56953642,129,22,151,Positive_summary
N8,76.04790419,23.95209581,127,40,167,Positive_summary
N2,91.40461216,8.595387841,436,41,477,Positive_summary
N3,99.25373134,0.746268657,399,3,402,Positive_summary
N4,79.76653696,20.23346304,205,52,257,Positive_summary
N5,93.90243902,6.097560976,231,15,246,Positive_summary
N6,68.71165644,31.28834356,112,51,163,Positive_summary
N7,81.54761905,18.45238095,137,31,168,Positive_summary
N8,71.34831461,28.65168539,127,51,178,Positive_summary
N2,93.34975369,6.650246305,379,27,406,Positive_summary
N3,99.16201117,0.837988827,355,3,358,Positive_summary
N4,83.19672131,16.80327869,203,41,244,Positive_summary
N5,91.76954733,8.230452675,223,20,243,Positive_summary
N6,77.3006135,22.6993865,126,37,163,Positive_summary
N7,84.21052632,15.78947368,128,24,152,Positive_summary
N8,71.25748503,28.74251497,119,48,167,Positive_summary
N2,93.45549738,6.544502618,357,25,382,Positive_summary
N3,98.85386819,1.146131805,345,4,349,Positive_summary
N4,82.47863248,17.52136752,193,41,234,Positive_summary
N5,92.40506329,7.594936709,219,18,237,Positive_summary
N6,75,25,129,43,172,Positive_summary
N7,84.17721519,15.82278481,133,25,158,Positive_summary
N8,78.28571429,21.71428571,137,38,175,Positive_summary
N2,92.28791774,7.712082262,359,30,389,Positive_summary
N3,98.4939759,1.506024096,327,5,332,Positive_summary
N4,83.47107438,16.52892562,202,40,242,Positive_summary
N5,90.63829787,9.361702128,213,22,235,Positive_summary
N6,70.1986755,29.8013245,106,45,151,Positive_summary
N7,88.05031447,11.94968553,140,19,159,Positive_summary
N8,77.3255814,22.6744186,133,39,172,Positive_summary
N2,93.84920635,6.150793651,473,31,504,Positive_summary
N3,99.53271028,0.46728972,426,2,428,Positive_summary
N4,71.79487179,28.20512821,196,77,273,Positive_summary
N5,91.41791045,8.582089552,245,23,268,Positive_summary
N6,66.23376623,33.76623377,102,52,154,Positive_summary
N7,77.84810127,22.15189873,123,35,158,Positive_summary
N8,72.78106509,27.21893491,123,46,169,Positive_summary
N2,92.78350515,7.216494845,360,28,388,Positive_summary
N3,97.92899408,2.071005917,331,7,338,Positive_summary
N4,84.84848485,15.15151515,196,35,231,Positive_summary
N5,92.20779221,7.792207792,213,18,231,Positive_summary
N6,74.375,25.625,119,41,160,Positive_summary
N7,84.39716312,15.60283688,119,22,141,Positive_summary
N8,79.50310559,20.49689441,128,33,161,Positive_summary
N2,92.34449761,7.655502392,386,32,418,Positive_summary
N3,98.59943978,1.400560224,352,5,357,Positive_summary
N4,78.83817427,21.16182573,190,51,241,Positive_summary
N5,89.21161826,10.78838174,215,26,241,Positive_summary
N6,75.3164557,24.6835443,119,39,158,Positive_summary
N7,82.82208589,17.17791411,135,28,163,Positive_summary
N8,78.08988764,21.91011236,139,39,178,Positive_summary
N2,92.7765237,7.223476298,411,32,443,Positive_summary
N3,98.92761394,1.072386059,369,4,373,Positive_summary
N4,75.87719298,24.12280702,173,55,228,Positive_summary
N5,90.12345679,9.87654321,219,24,243,Positive_summary
N6,73.93939394,26.06060606,122,43,165,Positive_summary
N7,80.11695906,19.88304094,137,34,171,Positive_summary
N8,78.53107345,21.46892655,139,38,177,Positive_summary
N2,92.27166276,7.728337237,394,33,427,Positive_summary
N3,98.60724234,1.39275766,354,5,359,Positive_summary
N4,79.91631799,20.08368201,191,48,239,Positive_summary
N5,92.57641921,7.423580786,212,17,229,Positive_summary
N6,76.1589404,23.8410596,115,36,151,Positive_summary
N7,84.76821192,15.23178808,128,23,151,Positive_summary
N8,69.6969697,30.3030303,115,50,165,Positive_summary
N2,93.99038462,6.009615385,391,25,416,Positive_summary
N3,99.2,0.8,372,3,375,Positive_summary
N4,74.89539749,25.10460251,179,60,239,Positive_summary
N5,91.56626506,8.43373494,228,21,249,Positive_summary
N6,75.16339869,24.83660131,115,38,153,Positive_summary
N7,83.63636364,16.36363636,138,27,165,Positive_summary
N8,72.09302326,27.90697674,124,48,172,Positive_summary
N2,92.62672811,7.373271889,402,32,434,Positive_summary
N3,99.47368421,0.526315789,378,2,380,Positive_summary
N4,83.52941176,16.47058824,213,42,255,Positive_summary
N5,90.47619048,9.523809524,228,24,252,Positive_summary
N6,71.42857143,28.57142857,100,40,140,Positive_summary
N7,78.87323944,21.12676056,112,30,142,Positive_summary
N8,73.98843931,26.01156069,128,45,173,Positive_summary
N2,93.33333333,6.666666667,392,28,420,Positive_summary
N3,98.63013699,1.369863014,360,5,365,Positive_summary
N4,78.48605578,21.51394422,197,54,251,Positive_summary
N5,89.02439024,10.97560976,219,27,246,Positive_summary
N6,73.42657343,26.57342657,105,38,143,Positive_summary
N7,84.93150685,15.06849315,124,22,146,Positive_summary
N8,71.51515152,28.48484848,118,47,165,Positive_summary
N2,92.96116505,7.038834951,383,29,412,Positive_summary
N3,99.44289694,0.557103064,357,2,359,Positive_summary
N4,80.49792531,19.50207469,194,47,241,Positive_summary
N5,90.24390244,9.756097561,222,24,246,Positive_summary
N6,69.67741935,30.32258065,108,47,155,Positive_summary
N7,81.98757764,18.01242236,132,29,161,Positive_summary
N8,77.24550898,22.75449102,129,38,167,Positive_summary
N2,93.45088161,6.549118388,371,26,397,Positive_summary
N3,99.43661972,0.563380282,353,2,355,Positive_summary
N4,81.81818182,18.18181818,189,42,231,Positive_summary
N5,90.3930131,9.6069869,207,22,229,Positive_summary
N6,69.78417266,30.21582734,97,42,139,Positive_summary
N7,84.24657534,15.75342466,123,23,146,Positive_summary
N8,73.6196319,26.3803681,120,43,163,Positive_summary
N2,92.35955056,7.640449438,411,34,445,Positive_summary
N3,99.2481203,0.751879699,396,3,399,Positive_summary
N4,77.64705882,22.35294118,198,57,255,Positive_summary
N5,92.06349206,7.936507937,232,20,252,Positive_summary
N6,70.3030303,29.6969697,116,49,165,Positive_summary
N7,81.93548387,18.06451613,127,28,155,Positive_summary
N8,77.5862069,22.4137931,135,39,174,Positive_summary
N2,93.84615385,6.153846154,366,24,390,Positive_summary
N3,99.11764706,0.882352941,337,3,340,Positive_summary
N4,82.01754386,17.98245614,187,41,228,Positive_summary
N5,89.91596639,10.08403361,214,24,238,Positive_summary
N6,70.1863354,29.8136646,113,48,161,Positive_summary
N7,83.13253012,16.86746988,138,28,166,Positive_summary
N8,80.81395349,19.18604651,139,33,172,Positive_summary
N2,93.63636364,6.363636364,412,28,440,Positive_summary
N3,98.4375,1.5625,378,6,384,Positive_summary
N4,80.69498069,19.30501931,209,50,259,Positive_summary
N5,89.83739837,10.16260163,221,25,246,Positive_summary
N6,73.85620915,26.14379085,113,40,153,Positive_summary
N7,82.27848101,17.72151899,130,28,158,Positive_summary
N8,74.43181818,25.56818182,131,45,176,Positive_summary
N2,93.57798165,6.422018349,408,28,436,Positive_summary
N3,100,0,383,0,383,Positive_summary
N4,80.08130081,19.91869919,197,49,246,Positive_summary
N5,89.65517241,10.34482759,234,27,261,Positive_summary
N6,75.625,24.375,121,39,160,Positive_summary
N7,81.01265823,18.98734177,128,30,158,Positive_summary
N8,73.88888889,26.11111111,133,47,180,Positive_summary
N2,93.87755102,6.12244898,368,24,392,Positive_summary
N3,99.41348974,0.586510264,339,2,341,Positive_summary
N4,81.01265823,18.98734177,192,45,237,Positive_summary
N5,90.6779661,9.322033898,214,22,236,Positive_summary
N6,74.17218543,25.82781457,112,39,151,Positive_summary
N7,85.81081081,14.18918919,127,21,148,Positive_summary
N8,76.36363636,23.63636364,126,39,165,Positive_summary
N2,93.48314607,6.516853933,416,29,445,Positive_summary
N3,99.48586118,0.514138817,387,2,389,Positive_summary
N4,77.69230769,22.30769231,202,58,260,Positive_summary
N5,89.51310861,10.48689139,239,28,267,Positive_summary
N6,71.68674699,28.31325301,119,47,166,Positive_summary
N7,80,20,128,32,160,Positive_summary
N8,77.09497207,22.90502793,138,41,179,Positive_summary
N2,94.54094293,5.459057072,381,22,403,Positive_summary
N3,98.84393064,1.156069364,342,4,346,Positive_summary
N4,82.15767635,17.84232365,198,43,241,Positive_summary
N5,91.96428571,8.035714286,206,18,224,Positive_summary
N6,76.66666667,23.33333333,115,35,150,Positive_summary
N7,82.35294118,17.64705882,126,27,153,Positive_summary
N8,74.07407407,25.92592593,120,42,162,Positive_summary
N2,93.62186788,6.378132118,411,28,439,Positive_summary
N3,98.66666667,1.333333333,370,5,375,Positive_summary
N4,77.07509881,22.92490119,195,58,253,Positive_summary
N5,94.53125,5.46875,242,14,256,Positive_summary
N6,67.28395062,32.71604938,109,53,162,Positive_summary
N7,82.31707317,17.68292683,135,29,164,Positive_summary
