MRCA,Non-duplication Per,Duplication Per,Non-duplication,Duplication,Total,group
N7,87.02702703,12.97297297,161,24,185,Null_summary
N8,87.97814208,12.02185792,161,22,183,Null_summary
N2,92.13114754,7.868852459,281,24,305,Null_summary
N3,98.21428571,1.785714286,275,5,280,Null_summary
N4,93.58490566,6.41509434,248,17,265,Null_summary
N5,94.19642857,5.803571429,211,13,224,Null_summary
N6,79.58115183,20.41884817,152,39,191,Null_summary
N7,86.02150538,13.97849462,160,26,186,Null_summary
N8,80.8988764,19.1011236,144,34,178,Null_summary
N2,85.09933775,14.90066225,257,45,302,Null_summary
N3,98.23943662,1.76056338,279,5,284,Null_summary
N4,96.66666667,3.333333333,261,9,270,Null_summary
N5,94.56066946,5.439330544,226,13,239,Null_summary
N6,82.72251309,17.27748691,158,33,191,Null_summary
N7,87.36842105,12.63157895,166,24,190,Null_summary
N8,85.79234973,14.20765027,157,26,183,Null_summary
N2,91.08910891,8.910891089,276,27,303,Null_summary
N3,98.58657244,1.413427562,279,4,283,Null_summary
N4,94.59459459,5.405405405,245,14,259,Null_summary
N5,92.82511211,7.174887892,207,16,223,Null_summary
N6,82.87292818,17.12707182,150,31,181,Null_summary
N7,84.53038674,15.46961326,153,28,181,Null_summary
N8,80.64516129,19.35483871,150,36,186,Null_summary
N2,91.36212625,8.637873754,275,26,301,Null_summary
N3,99.25093633,0.74906367,265,2,267,Null_summary
N4,93.15589354,6.844106464,245,18,263,Null_summary
N5,94.06779661,5.93220339,222,14,236,Null_summary
N6,84.65608466,15.34391534,160,29,189,Null_summary
N7,84.97109827,15.02890173,147,26,173,Null_summary
N8,85.71428571,14.28571429,156,26,182,Null_summary
N2,91.29032258,8.709677419,283,27,310,Null_summary
N3,98.93992933,1.060070671,280,3,283,Null_summary
N4,94.53125,5.46875,242,14,256,Null_summary
N5,89.59276018,10.40723982,198,23,221,Null_summary
N6,83.70786517,16.29213483,149,29,178,Null_summary
N7,88.20224719,11.79775281,157,21,178,Null_summary
N8,81.7679558,18.2320442,148,33,181,Null_summary
N2,89.28571429,10.71428571,275,33,308,Null_summary
N3,99.63369963,0.366300366,272,1,273,Null_summary
N4,91.50579151,8.494208494,237,22,259,Null_summary
